County ID,Geography,State,Media Market,CD,Population,Percentage of County
1001,Autauga County,Alabama,Montgomery,2,58805,100.00%
1003,Baldwin County,Alabama,Mobile,1,231767,100.00%
1005,Barbour County,Alabama,"Columbus, GA",2,25223,100.00%
1007,Bibb County,Alabama,Birmingham,6,22293,100.00%
1009,Blount County,Alabama,Birmingham,6,59134,100.00%
1011,Bullock County,Alabama,Montgomery,2,10357,100.00%
1013,Butler County,Alabama,Montgomery,2,19051,100.00%
1015,Calhoun County,Alabama,Birmingham,3,116441,100.00%
1017,Chambers County,Alabama,"Columbus, GA",3,34772,100.00%
1019,Cherokee County,Alabama,Birmingham,3,24971,100.00%
1021,Chilton County,Alabama,Birmingham,3,12405,27.60%
1021,Chilton County,Alabama,Birmingham,6,32609,72.40%
1023,Choctaw County,Alabama,Meridian,7,12665,100.00%
1025,Clarke County,Alabama,Mobile,7,23087,100.00%
1027,Clay County,Alabama,Birmingham,3,14236,100.00%
1029,Cleburne County,Alabama,Atlanta,3,15056,100.00%
1031,Coffee County,Alabama,Dothan,2,53465,100.00%
1033,Colbert County,Alabama,Huntsville,4,57227,100.00%
1035,Conecuh County,Alabama,Mobile,2,11597,100.00%
1037,Coosa County,Alabama,Birmingham,3,10387,100.00%
1039,Covington County,Alabama,Montgomery,2,37570,100.00%
1041,Crenshaw County,Alabama,Montgomery,2,13194,100.00%
1043,Cullman County,Alabama,Birmingham,4,87866,100.00%
1045,Dale County,Alabama,Dothan,2,49326,100.00%
1047,Dallas County,Alabama,Montgomery,7,38462,100.00%
1049,DeKalb County,Alabama,Huntsville,4,71608,100.00%
1051,Elmore County,Alabama,Montgomery,2,87977,100.00%
1053,Escambia County,Alabama,Mobile,1,36018,98.00%
1053,Escambia County,Alabama,Mobile,2,739,2.00%
1055,Etowah County,Alabama,Birmingham,4,103436,100.00%
1057,Fayette County,Alabama,Birmingham,4,16321,100.00%
1059,Franklin County,Alabama,Huntsville,4,32113,100.00%
1061,Geneva County,Alabama,Dothan,2,26659,100.00%
1063,Greene County,Alabama,Birmingham,7,7730,100.00%
1065,Hale County,Alabama,Birmingham,7,14785,100.00%
1067,Henry County,Alabama,Dothan,2,17146,100.00%
1069,Houston County,Alabama,Dothan,2,107202,100.00%
1071,Jackson County,Alabama,Huntsville,5,52579,100.00%
1073,Jefferson County,Alabama,Birmingham,6,380694,56.40%
1073,Jefferson County,Alabama,Birmingham,7,294027,43.60%
1075,Lamar County,Alabama,"Columbus, MS",4,13972,100.00%
1077,Lauderdale County,Alabama,Huntsville,4,43533,46.50%
1077,Lauderdale County,Alabama,Huntsville,5,50031,53.50%
1079,Lawrence County,Alabama,Huntsville,4,33073,100.00%
1081,Lee County,Alabama,"Columbus, GA",3,174241,100.00%
1083,Limestone County,Alabama,Huntsville,5,103570,100.00%
1085,Lowndes County,Alabama,Montgomery,7,10311,100.00%
1087,Macon County,Alabama,Montgomery,3,19532,100.00%
1089,Madison County,Alabama,Huntsville,5,388153,100.00%
1091,Marengo County,Alabama,Montgomery,7,19323,100.00%
1093,Marion County,Alabama,Birmingham,4,29341,100.00%
1095,Marshall County,Alabama,Huntsville,4,97612,100.00%
1097,Mobile County,Alabama,Mobile,1,414809,100.00%
1099,Monroe County,Alabama,Mobile,1,19772,100.00%
1101,Montgomery County,Alabama,Montgomery,2,166435,72.70%
1101,Montgomery County,Alabama,Montgomery,7,62519,27.30%
1103,Morgan County,Alabama,Huntsville,5,123421,100.00%
1105,Perry County,Alabama,Montgomery,7,8511,100.00%
1107,Pickens County,Alabama,Birmingham,7,19123,100.00%
1109,Pike County,Alabama,Montgomery,2,33009,100.00%
1111,Randolph County,Alabama,Atlanta,3,21967,100.00%
1113,Russell County,Alabama,"Columbus, GA",3,59183,100.00%
1115,St. Clair County,Alabama,Birmingham,3,91103,100.00%
1117,Shelby County,Alabama,Birmingham,6,223024,100.00%
1119,Sumter County,Alabama,Meridian,7,12345,100.00%
1121,Talladega County,Alabama,Birmingham,3,82149,100.00%
1123,Tallapoosa County,Alabama,Montgomery,3,41311,100.00%
1125,Tuscaloosa County,Alabama,Birmingham,4,42770,18.80%
1125,Tuscaloosa County,Alabama,Birmingham,7,184266,81.20%
1127,Walker County,Alabama,Birmingham,4,65342,100.00%
1129,Washington County,Alabama,Mobile,1,15388,100.00%
1131,Wilcox County,Alabama,Montgomery,7,10600,100.00%
1133,Winston County,Alabama,Birmingham,4,23540,100.00%
2013,Aleutians East Borough,Alaska,None,1,3420,100.00%
2016,Aleutians West Census Area,Alaska,None,1,5232,100.00%
2020,Anchorage Municipality,Alaska,Anchorage,1,291247,100.00%
2050,Bethel Census Area,Alaska,None,1,18666,100.00%
2060,Bristol Bay Borough,Alaska,None,1,844,100.00%
2062,Chugach Census Area,Alaska,None,1,7102,100.00%
2064,Copper River Census Area,Alaska,None,1,2617,100.00%
2068,Denali Borough,Alaska,Fairbanks,1,1619,100.00%
2070,Dillingham Census Area,Alaska,None,1,4857,100.00%
2090,Fairbanks North Star Borough,Alaska,Fairbanks,1,95655,100.00%
2100,Haines Borough,Alaska,Juneau,1,2080,100.00%
2105,Hoonah-Angoon Census Area,Alaska,Juneau,1,2365,100.00%
2110,Juneau City and Borough,Alaska,Juneau,1,32255,100.00%
2122,Kenai Peninsula Borough,Alaska,Anchorage,1,58799,100.00%
2130,Ketchikan Gateway Borough,Alaska,Juneau,1,13948,100.00%
2150,Kodiak Island Borough,Alaska,None,1,13101,100.00%
2158,Kusilvak Census Area,Alaska,None,1,8368,100.00%
2164,Lake and Peninsula Borough,Alaska,None,1,1476,100.00%
2170,Matanuska-Susitna Borough,Alaska,Anchorage,1,107081,100.00%
2180,Nome Census Area,Alaska,None,1,10046,100.00%
2185,North Slope Borough,Alaska,None,1,11031,100.00%
2188,Northwest Arctic Borough,Alaska,None,1,7793,100.00%
2195,Petersburg Borough,Alaska,Juneau,1,3398,100.00%
2198,Prince of Wales-Hyder Census Area,Alaska,Juneau,1,5753,100.00%
2220,Sitka City and Borough,Alaska,Juneau,1,8458,100.00%
2230,Skagway Municipality,Alaska,Juneau,1,1240,100.00%
2240,Southeast Fairbanks Census Area,Alaska,Fairbanks,1,6808,100.00%
2275,Wrangell City and Borough,Alaska,Juneau,1,2127,100.00%
2282,Yakutat City and Borough,Alaska,None,1,662,100.00%
2290,Yukon-Koyukuk Census Area,Alaska,None,1,5343,100.00%
4001,Apache County,Arizona,Albuquerque,2,66021,100.00%
4003,Cochise County,Arizona,Tucson,6,95946,76.50%
4003,Cochise County,Arizona,Tucson,7,29501,23.50%
4005,Coconino County,Arizona,Phoenix,2,145101,100.00%
4007,Gila County,Arizona,Phoenix,2,53272,100.00%
4009,Graham County,Arizona,Phoenix,2,4720,12.20%
4009,Graham County,Arizona,Phoenix,6,33813,87.80%
4011,Greenlee County,Arizona,Phoenix,6,9563,100.00%
4012,La Paz County,Arizona,Phoenix,9,16557,100.00%
4013,Maricopa County,Arizona,Phoenix,1,794611,18.00%
4013,Maricopa County,Arizona,Phoenix,2,3583,0.10%
4013,Maricopa County,Arizona,Phoenix,3,794612,18.00%
4013,Maricopa County,Arizona,Phoenix,4,794611,18.00%
4013,Maricopa County,Arizona,Phoenix,5,636747,14.40%
4013,Maricopa County,Arizona,Phoenix,7,114478,2.60%
4013,Maricopa County,Arizona,Phoenix,8,794610,18.00%
4013,Maricopa County,Arizona,Phoenix,9,487316,11.00%
4015,Mohave County,Arizona,Phoenix,2,1526,0.70%
4015,Mohave County,Arizona,Phoenix,9,211741,99.30%
4017,Navajo County,Arizona,Phoenix,2,106717,100.00%
4019,Pima County,Arizona,Tucson,6,571618,54.80%
4019,Pima County,Arizona,Tucson,7,471815,45.20%
4021,Pinal County,Arizona,Phoenix,2,177463,41.70%
4021,Pinal County,Arizona,Phoenix,5,157865,37.10%
4021,Pinal County,Arizona,Phoenix,6,83671,19.70%
4021,Pinal County,Arizona,Phoenix,7,6265,1.50%
4023,Santa Cruz County,Arizona,Tucson,7,47669,100.00%
