District Code,State,Seat,Urban Pop.,Suburban Pop.,Rural Pop.,Total Pop.,Urban Pop. %,Suburban Pop. %,Rural Pop. %,Total Pop. %
alaska01,Alaska,1,156931.9022752707,344290.3751528743,191858.40481730245,693080.6822454474,0.2264265998106334,0.49675367381102015,0.27681972637834645,1.0
alabama01,Alabama,1,146823.26209293446,280738.861984972,237239.80988115314,664801.9339590597,0.22085263985103906,0.4222894784813618,0.3568578816675991,1.0
alabama02,Alabama,2,147051.92212220546,261707.4103890964,288771.7632869162,697531.095798218,0.2108177298589491,0.3751910301426951,0.4139912399983558,1.0
alabama03,Alabama,3,110759.82851445323,242422.6996613583,322976.68665079336,676159.2148266048,0.16380731946817678,0.3585290185293496,0.4776636620024737,1.0
alabama04,Alabama,4,89769.81565192445,218895.22142038753,393030.9455841146,701695.9826564265,0.12793263446098238,0.3119516526113074,0.5601157129277103,1.0
alabama05,Alabama,5,101204.51243631482,317678.7456825844,221933.17466426693,640816.4327831662,0.1579305823927888,0.4957406355870992,0.346328782020112,1.0
alabama06,Alabama,6,99985.38800780653,375546.3328274038,184796.3439785983,660328.0648138085,0.15141774723144505,0.5687268993076886,0.27985535346086643,1.0
alabama07,Alabama,7,276900.5238916179,227853.25048607314,226266.57064701777,731020.3450247088,0.37878634401380246,0.311692078116337,0.3095215778698606,1.0
arkansas01,Arkansas,1,131294.01346492584,230694.08963826296,400432.39592572843,762420.4990289172,0.1722068250160547,0.302581173948096,0.5252120010358493,1.0
arkansas02,Arkansas,2,180478.89464874432,321818.10898548784,212080.02701779347,714377.0306520256,0.25263815451067595,0.45048776091213105,0.29687408457719305,1.0
arkansas03,Arkansas,3,135411.99930510015,298790.86607999884,209640.3201228975,643843.1855079965,0.21031829233116633,0.4640739745412556,0.3256077331275781,1.0
arkansas04,Arkansas,4,142782.92025008088,213411.52586959308,439639.29373714497,795833.7398568189,0.1794130018611292,0.26816094264612184,0.5524260554927489,1.0
arizona01,Arizona,1,223277.65420802834,480065.3137075143,29736.22636918121,733079.1942847238,0.30457507994874095,0.6548614630591462,0.04056345699211295,1.0
arizona02,Arizona,2,107226.17632536049,305029.4841385121,339137.1155876828,751392.7760515554,0.14270323024506076,0.4059521116790496,0.45134465807588964,1.0
arizona03,Arizona,3,337447.10106473195,356185.5178055885,13682.589093666411,707315.2079639869,0.47708164233606176,0.5035739565544924,0.019344401109445766,1.0
arizona04,Arizona,4,201846.861544474,514182.8424714351,9423.811893291564,725453.5159092007,0.27823541704323007,0.7087743476258668,0.012990235330903089,1.0
arizona05,Arizona,5,79687.19565688753,473460.7058721661,59304.16586690977,612452.0673959634,0.13011172612365116,0.773057568219561,0.09683070565678792,1.0
arizona06,Arizona,6,184906.45135014626,402302.80909735535,131597.33889779844,718806.5993453001,0.2572408927777817,0.5596815742423328,0.18307753297988538,1.0
arizona07,Arizona,7,343689.57900064165,305172.41100168973,113047.50129836927,761909.4913007006,0.45108977237428677,0.400536303177838,0.14837392444787534,1.0
arizona08,Arizona,8,187496.79056021923,486008.5850441529,23174.432611420685,696679.8082157928,0.2691290724219513,0.697606819248613,0.0332641083294358,1.0
arizona09,Arizona,9,91919.58752211892,414120.47904542094,150597.171524299,656637.2380918389,0.13998534074801103,0.6306685868880026,0.2293460723639863,1.0
california01,California,1,131293.38598527506,347062.30076613225,274897.32704351743,753253.0137949248,0.1743018395954537,0.46075129393457814,0.36494686646996805,1.0
california02,California,2,89253.80818745546,466631.72228123015,201190.3909625211,757075.9214312066,0.11789281056347227,0.6163605380542163,0.26574665138231146,1.0
california03,California,3,75366.60349719267,433055.35085116624,192661.81633437853,701083.7706827375,0.10750013999582146,0.617694160042306,0.27480569996187243,1.0
california04,California,4,144653.6625412443,481159.8631631113,93070.68346927041,718884.209173626,0.2012196967123913,0.6693148312663811,0.1294654720212276,1.0
california05,California,5,105498.01304298559,423912.42681120406,205389.6021230288,734800.0419772185,0.14357377111616498,0.576908550073745,0.27951767881009,1.0
